aeson		2
aesop		1
aetna		1
afar		21
afear'd		3
afeard		41
afeard-thy		1
affability		4
affable		8
affair		16
affaire		2
affairs		97
affect		27
affectation		3
affectations		2
affected		22
affectedly		2
affecteth		1
affecting		3
affection		99
affection'd		1
affection's		2
affectionate		1
affectionately		1
affections		54
affects		17
affeer'd		1
affianc'd		1
affiance		5
affianced		1
affied		1
affin'd		1
affined		3
affinity		1
affirm		6
affirmation		1
affirmatives		1
afflict		13
afflicted		9
affliction		23
afflictions		6
afflicts		2
afford		29
affordeth		2
affords		21
affray		2
affright		11
affrighted		8
affrights		5
affront		4
affronted		1
affy		3
afield		4
afire		4
afloat		4
afoot		34
afore		14
afore't		1
aforehand		1
aforesaid		3
afraid		50
afresh		6
afric		4
africa		1
african		2
afront		1
after		440
after-debts		1
after-dinner's		2
after-eye		1
after-hours		2
after-inquiry		1
after-loss		2
after-love		2
after-meeting		2
after-supper		1
after-times		2
afternoon		45
afterward		11
afterwards		46
ag'd		3
again		1158
again-not		1
against		618
agamemmon's		1
agamemnon		102
agamemnon's		6
agamemnon-how		1
agamemnon.worthy		1
agate		4
agate-ring		1
agaz'd		1
age		277
age's		5
aged		26
agenor		1
agent		11
agents		3
ages		16
aggravate		5
aggrief'd		1
agile		1
agincourt		13
agitation		2
aglet-baby		1
agnize		2
ago		46
agone		2
agony		10
agree		26
agreed		26
agreeing		5
agreement		5
agrees		5
agrippa		72
aground		1
ague		11
ague's		2
ague-proof		2
aguecheek		99
agued		1
agueface		3
agues		4
ah		188
aha		2
ahungry		2
ai		1
aialvolio		1
aiaria		1
aid		88
aidance		1
aidant		1
aided		1
aiding		3
aidless		1
aids		2
ail		2
ail'st		1
aim		48
aim'd		7
aim'st		1
aimed		1
aimest		1
aiming		3
aims		6
ainsi		2
aio		1
air		259
air'd		1
air's		1
air-drawn		1
air-the		1
aired		1
airless		1
airs		5
airy		15
ajax		146
ajax-who		1
akilling		1
al'ce		1
alabaster		5
alack		86
alacrity		6
alarbus		7
alarm		7
alarms		1
alarum		98
alarum'd		2
alarums		37
alas		244
alb		58
alban		4
alban's		1
albans		28
albany		24
albany's		6
albeit		16
albion		6
albion's		3
alchemist		3
alchemy		6
alcibiades		66
alcides		7
alder-liefest		1
alderman		2
alderman's		1
aldermen		10
ale		23
ale-house		1
ale-wash'd		1
ale-wife		1
alecto's		1
alehouse		9
alehouses		2
alencon		55
alencon's		4
alengon		1
aleppo		2
ales		2
alewife's		1
alexander		38
alexander's		1
alexander.-how		1
alexanders		2
alexandria		32
alexandrian		2
alexas		46
alias		4
alice		34
alien		4
aliena		9
alight		2
alighted		3
alights		2
aliis		3
alike		57
alisander		11
alive		132
all		4265
all's		38
all-a		1
all-abhorred		1
all-admiring		1
all-binding		1
all-changing		1
all-cheering		1
all-disgraced		1
all-dreaded		1
all-eating		1
all-ending		1
all-hail		2
all-hailed		1
all-hallond		1
all-hallown		1
all-hating		1
all-honour'd		1
all-hurting		1
all-licens'd		1
all-obeying		1
all-oblivious		1
all-praised		1
all-seeing		2
all-seer		1
all-shaking		1
all-shunn'd		1
all-souls		3
all-telling		1
all-tyrant		1
all-unable		1
all-watched		1
all-worthy		2
alla		2
allay		14
allay'd		1
allayed		2
allaying		2
allayment		1
allayments		1
allays		1
allegation		1
allegations		1
allege		2
alleged		3
allegiance		30
allegiance--mark		1
allegiant		1
alley		2
alleys		2
allhallowmas		1
alliance		21
allicholy		1
allied		6
allies		12
alligant		2
alligator		1
allons		3
allons-nous		1
allot		1
allots		1
allotted		1
allottery		1
allow		36
allow'd		21
allowance		15
allowed		4
allowing		4
allows		5
alls		1
allur'd		1
allure		2
allurement		1
alluring		1
allusion		2
ally		2
allycholly		1
almain		1
almanac		2
almanack		1
almanacs		1
almighty		11
almond		1
almost		168
alms		16
alms-basket		1
alms-deed		2
alms-drink		2
alms-houses		1
almsman's		1
aloes		1
aloft		25
alone		370
along		157
alonso		51
aloof		26
aloud		39
alphabet		2
alphabetical		1
alphonso		2
alps		6
already		198
also		44
alt'red		5
alt'ring		2
altar		11
altars		5
alter		15
alter'd		18
alteration		13
altered		2
alters		5
althaea		2
althaea's		1
although		81
altitude		4
altogether		26
altogether's		1
alton		2
alway		1
always		64
always-wind-obeying		1
am		2259
amaimon		1
amain		24
amaking		2
amamon		1
amaz'd		36
amaze		9
amazed		18
amazedly		6
amazedness		2
amazement		14
amazes		2
amazeth		2
amazing		1
amazon		7
amazonian		2
amazons		6
ambassador		35
ambassadors		31
amber		7
amber-colour'd		1
ambiguides		2
ambiguities		2
ambiguous		1
ambition		58
ambition's		2
ambitions		2
ambitious		44
ambitiously		2
amble		1
ambled		1
ambles		5
ambling		4
ambo		3
ambuscadoes		1
ambush		11
amen		126
amend		22
amended		9
amendment		7
amends		36
amerce		1
america		1
ames-ace		1
amiable		9
amid		1
amidst		1
amiens		16
amis		4
amiss		54
amities		3
amity		34
amnipotent		1
among		96
among's		2
amongst		38
amorous		26
amorously		1
